| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
| 1       | 05:19:15     | 05:19:15       | 880     | 55            |
| 1       | 05:20:11     | 05:20:11       | 863     | 56            |
| 1       | 05:21:05     | 05:21:05       | 855     | 57            |
| 1       | 05:22:24     | 05:22:24       | 845     | 58            |
| 1       | 05:24:38     | 05:24:38       | 824     | 59            |
| 1       | 05:26:08     | 05:26:08       | 795     | 60            |
| 1       | 05:27:27     | 05:27:27       | 771     | 61            |
| 1       | 05:28:47     | 05:28:47       | 736     | 62            |
| 1       | 05:31:42     | 05:31:42       | 701     | 63            |
| 1       | 05:32:42     | 05:32:42       | 658     | 64            |
| 1       | 05:33:27     | 05:33:27       | 620     | 65            |
| 1       | 05:34:25     | 05:34:25       | 576     | 66            |
| 1       | 05:35:25     | 05:35:25       | 612     | 67            |
| 2       | 04:50:00     | 04:50:00       | 826     | 1             |
| 2       | 04:51:14     | 04:51:14       | 788     | 2             |
| 2       | 04:52:33     | 04:52:33       | 730     | 3             |
| 2       | 04:53:33     | 04:53:33       | 709     | 4             |
| 2       | 04:54:39     | 04:54:39       | 691     | 5             |

---

SEDE DA AGÊNCIA REGULADORA DO ESTADO DO CEARÁ
AV. General Afonso Albuquerque Lima, S/N – Cambeba
Fortaleza/CE CEP: 60.822-325 * Telefone: 0800.275.3838

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 2       | 04:56:01     | 04:56:01       | 692     | 7             |
| 2       | 04:56:37     | 04:56:37       | 719     | 8             |
| 2       | 04:56:57     | 04:56:57       | 741     | 9             |
| 2       | 04:57:26     | 04:57:26       | 747     | 10            |
| 2       | 04:58:49     | 04:58:49       | 751     | 11            |
| 2       | 04:59:08     | 04:59:08       | 752     | 12            |
| 2       | 05:00:43     | 05:00:43       | 757     | 13            |
| 2       | 05:01:23     | 05:01:23       | 764     | 14            |
| 2       | 05:02:08     | 05:02:08       | 772     | 15            |
| 2       | 05:02:44     | 05:02:41       | 773     | 16            |
| 2       | 05:03:12     | 05:03:12       | 759     | 17            |
| 2       | 05:03:44     | 05:03:44       | 749     | 18            |
| 2       | 05:04:06     | 05:04:06       | 743     | 19            |
| 2       | 05:04:43     | 05:04:43       | 732     | 20            |
| 2       | 05:05:49     | 05:05:49       | 744     | 21            |
| 2       | 05:06:16     | 05:06:16       | 765     | 22            |
| 2       | 05:06:46     | 05:06:46       | 781     | 23            |
| 2       | 05:07:32     | 05:07:32       | 796     | 24            |
| 2       | 05:08:34     | 05:08:34       | 803     | 25            |
| 2       | 05:09:26     | 05:09:26       | 806     | 26            |
| 2       | 05:10:31     | 05:10:31       | 810     | 27            |
| 2       | 05:10:48     | 05:10:48       | 813     | 28            |
| 2       | 05:11:21     | 05:11:21       | 816     | 29            |
| 2       | 05:11:43     | 05:11:43       | 817     | 30            |
| 2       | 05:13:31     | 05:13:31       | 758     | 31            |
| 2       | 05:14:37     | 05:14:37       | 820     | 32            |
| 2       | 05:14:54     | 05:14:54       | 819     | 33            |
| 2       | 05:15:47     | 05:15:47       | 832     | 34            |
| 2       | 05:16:25     | 05:16:25       | 841     | 35            |
| 2       | 05:16:58     | 05:16:58       | 849     | 36            |
| 2       | 05:17:56     | 05:17:56       | 862     | 37            |
| 2       | 05:18:26     | 05:18:26       | 876     | 38            |
| 2       | 05:18:48     | 05:18:48       | 884     | 39            |
| 2       | 05:19:15     | 05:19:15       | 891     | 40            |
| 2       | 05:19:39     | 05:19:39       | 899     | 41            |
| 2       | 05:20:14     | 05:20:14       | 919     | 42            |
| 2       | 05:21:17     | 05:21:17       | 929     | 43            |
| 2       | 05:22:42     | 05:22:42       | 967     | 44            |
| 2       | 05:23:02     | 05:23:02       | 971     | 45            |
| 2       | 05:23:43     | 05:23:43       | 987     | 46            |
| 2       | 05:26:23     | 05:26:23       | 988     | 47            |
| 2       | 05:27:09     | 05:27:09       | 976     | 48            |
| 2       | 05:27:54     | 05:27:54       | 964     | 49            |
| 2       | 05:28:29     | 05:28:29       | 954     | 50            |
| 2       | 05:29:08     | 05:29:08       | 940     | 51            |
| 2       | 05:31:32     | 05:31:32       | 914     | 52            |
| 2       | 05:32:33     | 05:32:33       | 902     | 53            |
| 2       | 05:33:11     | 05:33:11       | 893     | 54            |
| 2       | 05:34:15     | 05:34:15       | 880     | 55            |
| 2       | 05:35:11     | 05:35:11       | 863     | 56            |
| 2       | 05:36:05     | 05:36:05       | 855     | 57            |
| 2       | 05:37:24     | 05:37:24       | 845     | 58            |
| 2       | 05:39:38     | 05:39:38       | 824     | 59            |
| 2       | 05:41:08     | 05:41:08       | 795     | 60            |
| 2       | 05:42:27     | 05:42:27       | 771     | 61            |
| 2       | 05:44:01     | 05:44:01       | 736     | 62            |
| 2       | 05:46:42     | 05:46:42       | 701     | 63            |
| 2       | 05:47:42     | 05:47:42       | 658     | 64            |
| 2       | 05:48:27     | 05:48:27       | 620     | 65            |
| 2       | 05:49:25     | 05:49:25       | 576     | 66            |
| 2       | 05:50:25     | 05:50:25       | 612     | 67            |
| 3       | 05:00:00     | 05:00:00       | 836     | 1             |
| 3       | 05:01:14     | 05:01:14       | 788     | 2             |
| 3       | 05:02:33     | 05:02:33       | 730     | 3             |
| 3       | 05:03:33     | 05:03:33       | 709     | 4             |
| 3       | 05:04:39     | 05:04:39       | 691     | 5             |
| 3       | 05:05:25     | 05:05:25       | 682     | 6             |
| 3       | 05:06:01     | 05:06:01       | 692     | 7             |
| 3       | 05:06:37     | 05:06:37       | 719     | 8             |
| 3       | 05:06:57     | 05:06:57       | 741     | 9             |
| 3       | 05:07:26     | 05:07:26       | 747     | 10            |
| 3       | 05:08:49     | 05:08:49       | 751     | 11            |

---

SEDE DA AGÊNCIA REGULADORA DO ESTADO DO CEARÁ
AV. General Afonso Albuquerque Lima, S/N – Cambeba
Fortaleza/CE CEP: 60.822-325 * Telefone: 0800.275.3838

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 3       | 05:10:43     | 05:10:43       | 757     | 13            |
| 3       | 05:11:23     | 05:11:23       | 764     | 14            |
| 3       | 05:12:08     | 05:12:08       | 772     | 15            |
| 3       | 05:12:41     | 05:12:41       | 773     | 16            |
| 3       | 05:13:12     | 05:13:12       | 759     | 17            |
| 3       | 05:13:44     | 05:13:44       | 749     | 18            |
| 3       | 05:14:06     | 05:14:06       | 743     | 19            |
| 3       | 05:14:43     | 05:14:43       | 732     | 20            |
| 3       | 05:15:49     | 05:15:49       | 744     | 21            |
| 3       | 05:16:16     | 05:16:16       | 765     | 22            |
| 3       | 05:16:46     | 05:16:46       | 781     | 23            |
| 3       | 05:17:32     | 05:17:32       | 796     | 24            |
| 3       | 05:18:34     | 05:18:34       | 803     | 25            |
| 3       | 05:19:26     | 05:19:26       | 806     | 26            |
| 3       | 05:20:31     | 05:20:31       | 810     | 27            |
| 3       | 05:20:48     | 05:20:48       | 813     | 28            |
| 3       | 05:21:21     | 05:21:21       | 816     | 29            |
| 3       | 05:21:43     | 05:21:43       | 817     | 30            |
| 3       | 05:23:31     | 05:23:31       | 758     | 31            |
| 3       | 05:24:37     | 05:24:37       | 820     | 32            |
| 3       | 05:24:54     | 05:24:54       | 819     | 33            |
| 3       | 05:25:47     | 05:25:47       | 832     | 34            |
| 3       | 05:26:25     | 05:26:25       | 841     | 35            |
| 3       | 05:26:58     | 05:26:58       | 849     | 36            |
| 3       | 05:27:56     | 05:27:56       | 862     | 37            |
| 3       | 05:28:26     | 05:28:26       | 876     | 38            |
| 3       | 05:28:48     | 05:28:48       | 884     | 39            |
| 3       | 05:29:15     | 05:29:15       | 891     | 40            |
| 3       | 05:29:39     | 05:29:39       | 899     | 41            |
| 3       | 05:30:34     | 05:30:34       | 919     | 42            |
| 3       | 05:31:17     | 05:31:17       | 929     | 43            |
| 3       | 05:32:42     | 05:32:42       | 967     | 44            |
| 3       | 05:33:02     | 05:33:02       | 971     | 45            |
| 3       | 05:33:43     | 05:33:43       | 987     | 46            |
| 3       | 05:36:23     | 05:36:23       | 988     | 47            |
| 3       | 05:37:09     | 05:37:09       | 976     | 48            |
| 3       | 05:37:54     | 05:37:54       | 964     | 49            |
| 3       | 05:38:29     | 05:38:29       | 954     | 50            |
| 3       | 05:39:08     | 05:39:08       | 940     | 51            |
| 3       | 05:41:32     | 05:41:32       | 914     | 52            |
| 3       | 05:42:33     | 05:42:33       | 902     | 53            |
| 3       | 05:43:11     | 05:43:11       | 893     | 54            |
| 3       | 05:44:15     | 05:44:15       | 880     | 55            |
| 3       | 05:45:11     | 05:45:11       | 863     | 56            |
| 3       | 05:46:05     | 05:46:05       | 855     | 57            |
| 3       | 05:47:24     | 05:47:24       | 845     | 58            |
| 3       | 05:49:38     | 05:49:38       | 824     | 59            |
| 3       | 05:51:08     | 05:51:08       | 795     | 60            |
| 3       | 05:52:27     | 05:52:27       | 771     | 61            |
| 3       | 05:54:01     | 05:54:01       | 736     | 62            |
| 3       | 05:56:42     | 05:56:42       | 701     | 63            |
| 3       | 05:57:42     | 05:57:42       | 658     | 64            |
| 3       | 05:58:27     | 05:58:27       | 620     | 65            |
| 3       | 05:59:25     | 05:59:25       | 576     | 66            |
| 3       | 06:00:25     | 06:00:25       | 612     | 67            |
| 4       | 05:05:00     | 05:05:00       | 826     | 1             |
| 4       | 05:06:14     | 05:06:14       | 788     | 2             |
| 4       | 05:07:33     | 05:07:33       | 730     | 3             |
| 4       | 05:08:33     | 05:08:33       | 709     | 4             |
| 4       | 05:09:39     | 05:09:39       | 691     | 5             |
| 4       | 05:10:25     | 05:10:25       | 682     | 6             |
| 4       | 05:11:05     | 05:11:05       | 692     | 7             |
| 4       | 05:11:37     | 05:11:37       | 719     | 8             |
| 4       | 05:11:57     | 05:11:57       | 741     | 9             |
| 4       | 05:12:26     | 05:12:26       | 747     | 10            |
| 4       | 05:13:49     | 05:13:49       | 751     | 11            |
| 4       | 05:14:08     | 05:14:08       | 752     | 12            |
| 4       | 05:15:43     | 05:15:43       | 757     | 13            |
| 4       | 05:16:23     | 05:16:23       | 764     | 14            |
| 4       | 05:17:08     | 05:17:08       | 772     | 15            |
| 4       | 05:17:41     | 05:17:41       | 773     | 16            |
| 4       | 05:18:12     | 05:18:12       | 759     | 17            |

SÉRIE DA AGÊNCIA REGULADORA DO ESTADO DO CEARÁ
AV. General Afonso Albuquerque Lima, S/N – Cambeba

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 4       | 05:19:06     | 05:19:06       | 743     | 19            |
| 4       | 05:19:43     | 05:19:43       | 732     | 20            |
| 4       | 05:20:49     | 05:20:49       | 744     | 21            |
| 4       | 05:21:16     | 05:21:16       | 765     | 22            |
| 4       | 05:21:46     | 05:21:46       | 781     | 23            |
| 4       | 05:22:32     | 05:22:32       | 796     | 24            |
| 4       | 05:23:34     | 05:23:34       | 803     | 25            |
| 4       | 05:24:26     | 05:24:26       | 806     | 26            |
| 4       | 05:25:31     | 05:25:31       | 810     | 27            |
| 4       | 05:26:18     | 05:26:18       | 813     | 28            |
| 4       | 05:26:21     | 05:26:21       | 816     | 29            |
| 4       | 05:26:43     | 05:26:43       | 817     | 30            |
| 4       | 05:28:31     | 05:28:31       | 758     | 31            |
| 4       | 05:29:37     | 05:29:37       | 820     | 32            |
| 4       | 05:29:54     | 05:29:54       | 819     | 33            |
| 4       | 05:30:47     | 05:30:47       | 832     | 34            |
| 4       | 05:31:25     | 05:31:25       | 841     | 35            |
| 4       | 05:31:58     | 05:31:58       | 849     | 36            |
| 4       | 05:32:56     | 05:32:56       | 862     | 37            |
| 4       | 05:33:26     | 05:33:26       | 876     | 38            |
| 4       | 05:33:48     | 05:33:48       | 884     | 39            |
| 4       | 05:34:15     | 05:34:15       | 891     | 40            |
| 4       | 05:34:39     | 05:34:39       | 899     | 41            |
| 4       | 05:35:34     | 05:35:34       | 919     | 42            |
| 4       | 05:36:17     | 05:36:17       | 929     | 43            |
| 4       | 05:37:42     | 05:37:42       | 967     | 44            |
| 4       | 05:38:02     | 05:38:02       | 971     | 45            |
| 4       | 05:38:43     | 05:38:43       | 987     | 46            |
| 4       | 05:41:23     | 05:41:23       | 988     | 47            |
| 4       | 05:42:09     | 05:42:09       | 976     | 48            |
| 4       | 05:42:54     | 05:42:54       | 964     | 49            |
| 4       | 05:43:29     | 05:43:29       | 954     | 50            |
| 4       | 05:44:08     | 05:44:08       | 940     | 51            |
| 4       | 05:46:32     | 05:46:32       | 914     | 52            |
| 4       | 05:47:33     | 05:47:33       | 902     | 53            |
| 4       | 05:48:11     | 05:48:11       | 893     | 54            |
| 4       | 05:49:15     | 05:49:15       | 880     | 55            |
| 4       | 05:50:11     | 05:50:11       | 863     | 56            |
| 4       | 05:51:05     | 05:51:05       | 855     | 57            |
| 4       | 05:52:24     | 05:52:24       | 845     | 58            |
| 4       | 05:54:38     | 05:54:38       | 824     | 59            |
| 4       | 05:56:08     | 05:56:08       | 795     | 60            |
| 4       | 05:57:27     | 05:57:27       | 771     | 61            |
| 4       | 05:59:01     | 05:59:01       | 736     | 62            |
| 4       | 06:01:42     | 06:01:42       | 701     | 63            |
| 4       | 06:02:42     | 06:02:42       | 658     | 64            |
| 4       | 06:03:27     | 06:03:27       | 620     | 65            |
| 4       | 06:04:25     | 06:04:25       | 576     | 66            |
| 4       | 06:05:25     | 06:05:25       | 612     | 67            |
| 5       | 05:20:00     | 05:20:00       | 826     | 1             |
| 5       | 05:21:14     | 05:21:14       | 788     | 2             |
| 5       | 05:22:33     | 05:22:33       | 730     | 3             |
| 5       | 05:23:33     | 05:23:33       | 709     | 4             |
| 5       | 05:24:39     | 05:24:39       | 691     | 5             |
| 5       | 05:25:25     | 05:25:25       | 682     | 6             |
| 5       | 05:26:01     | 05:26:01       | 692     | 7             |
| 5       | 05:26:37     | 05:26:37       | 719     | 8             |
| 5       | 05:26:57     | 05:26:57       | 741     | 9             |
| 5       | 05:27:26     | 05:27:26       | 747     | 10            |
| 5       | 05:28:49     | 05:28:49       | 751     | 11            |
| 5       | 05:29:08     | 05:29:08       | 752     | 12            |
| 5       | 05:30:08     | 05:30:08       | 757     | 13            |
| 5       | 05:31:23     | 05:31:23       | 764     | 14            |
| 5       | 05:32:08     | 05:32:08       | 772     | 15            |
| 5       | 05:32:41     | 05:32:41       | 773     | 16            |
| 5       | 05:33:12     | 05:33:12       | 759     | 17            |
| 5       | 05:33:44     | 05:33:44       | 749     | 18            |
| 5       | 05:34:06     | 05:34:06       | 743     | 19            |
| 5       | 05:34:43     | 05:34:43       | 732     | 20            |
| 5       | 05:35:49     | 05:35:49       | 744     | 21            |
| 5       | 05:36:16     | 05:36:16       | 765     | 22            |
| 5       | 05:36:46     | 05:36:46       | 781     | 23            |

---

**SEDE DA AGENCIA REGULADORA DO ESTADO DO CEARÁ**
AV. General Afonso Albuquerque Lima, S/N – Cambeba
Fortaleza/CE CEP: 60.822-325 * Telefone: 0800.275.3838

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 5       | 05:38:34     | 05:38:34       | 803     | 25            |
| 5       | 05:39:26     | 05:39:26       | 806     | 26            |
| 5       | 05:40:31     | 05:40:31       | 810     | 27            |
| 5       | 05:40:48     | 05:40:48       | 813     | 28            |
| 5       | 05:41:21     | 05:41:21       | 816     | 29            |
| 5       | 05:41:43     | 05:41:43       | 817     | 30            |
| 5       | 05:43:31     | 05:43:31       | 758     | 31            |
| 5       | 05:44:37     | 05:44:37       | 820     | 32            |
| 5       | 05:45:44     | 05:45:44       | 819     | 33            |
| 5       | 05:45:47     | 05:45:47       | 832     | 34            |
| 5       | 05:46:25     | 05:46:25       | 841     | 35            |
| 5       | 05:46:58     | 05:46:58       | 849     | 36            |
| 5       | 05:47:56     | 05:47:56       | 862     | 37            |
| 5       | 05:48:26     | 05:48:26       | 876     | 38            |
| 5       | 05:48:48     | 05:48:48       | 884     | 39            |
| 5       | 05:49:15     | 05:49:15       | 891     | 40            |
| 5       | 05:49:39     | 05:49:39       | 899     | 41            |
| 5       | 05:50:34     | 05:50:34       | 919     | 42            |
| 5       | 05:51:17     | 05:51:17       | 929     | 43            |
| 5       | 05:52:42     | 05:52:42       | 967     | 44            |
| 5       | 05:53:02     | 05:53:02       | 971     | 45            |
| 5       | 05:53:43     | 05:53:43       | 987     | 46            |
| 5       | 05:56:23     | 05:56:23       | 988     | 47            |
| 5       | 05:57:09     | 05:57:09       | 976     | 48            |
| 5       | 05:57:54     | 05:57:54       | 964     | 49            |
| 5       | 05:58:29     | 05:58:29       | 954     | 50            |
| 5       | 05:59:08     | 05:59:08       | 940     | 51            |
| 5       | 06:01:32     | 06:01:32       | 914     | 52            |
| 5       | 06:02:33     | 06:02:33       | 902     | 53            |
| 5       | 06:03:11     | 06:03:11       | 893     | 54            |
| 5       | 06:04:15     | 06:04:15       | 880     | 55            |
| 5       | 06:05:11     | 06:05:11       | 863     | 56            |
| 5       | 06:06:05     | 06:06:05       | 855     | 57            |
| 5       | 06:07:24     | 06:07:24       | 845     | 58            |
| 5       | 06:09:38     | 06:09:38       | 824     | 59            |
| 5       | 06:11:08     | 06:11:08       | 795     | 60            |
| 5       | 06:12:27     | 06:12:27       | 771     | 61            |
| 5       | 06:14:01     | 06:14:01       | 736     | 62            |
| 5       | 06:16:42     | 06:16:42       | 701     | 63            |
| 5       | 06:17:42     | 06:17:42       | 658     | 64            |
| 5       | 06:18:27     | 06:18:27       | 620     | 65            |
| 5       | 06:19:25     | 06:19:25       | 576     | 66            |
| 5       | 06:20:25     | 06:20:25       | 612     | 67            |
| 6       | 05:30:00     | 05:30:00       | 826     | 1             |
| 6       | 05:31:14     | 05:31:14       | 788     | 2             |
| 6       | 05:32:33     | 05:32:33       | 730     | 3             |
| 6       | 05:33:33     | 05:33:33       | 709     | 4             |
| 6       | 05:34:39     | 05:34:39       | 691     | 5             |
| 6       | 05:35:25     | 05:35:25       | 682     | 6             |
| 6       | 05:36:01     | 05:36:01       | 692     | 7             |
| 6       | 05:36:37     | 05:36:37       | 719     | 8             |
| 6       | 05:36:57     | 05:36:57       | 741     | 9             |
| 6       | 05:37:26     | 05:37:26       | 747     | 10            |
| 6       | 05:38:49     | 05:38:49       | 751     | 11            |
| 6       | 05:39:08     | 05:39:08       | 752     | 12            |
| 6       | 05:40:43     | 05:40:43       | 757     | 13            |
| 6       | 05:41:23     | 05:41:23       | 764     | 14            |
| 6       | 05:42:08     | 05:42:08       | 772     | 15            |
| 6       | 05:42:41     | 05:42:41       | 773     | 16            |
| 6       | 05:43:12     | 05:43:12       | 759     | 17            |
| 6       | 05:43:44     | 05:43:44       | 749     | 18            |
| 6       | 05:44:06     | 05:44:06       | 743     | 19            |
| 6       | 05:44:43     | 05:44:43       | 732     | 20            |
| 6       | 05:45:49     | 05:45:49       | 744     | 21            |
| 6       | 05:46:16     | 05:46:16       | 765     | 22            |
| 6       | 05:46:46     | 05:46:46       | 781     | 23            |
| 6       | 05:47:32     | 05:47:32       | 796     | 24            |
| 6       | 05:48:34     | 05:48:34       | 803     | 25            |
| 6       | 05:49:26     | 05:49:26       | 806     | 26            |
| 6       | 05:50:31     | 05:50:31       | 810     | 27            |
| 6       | 05:50:48     | 05:50:48       | 813     | 28            |
| 6       | 05:51:21     | 05:51:21       | 816     | 29            |

Sede da Agência Reguladora do Estado do Ceará
Av. General Afonso Albuquerque Lima, S/N – Cambeba

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 6       | 05:53:31     | 05:53:31       | 758     | 31            |
| 6       | 05:54:37     | 05:54:37       | 820     | 32            |
| 6       | 05:54:54     | 05:54:54       | 819     | 33            |
| 6       | 05:55:47     | 05:55:47       | 832     | 34            |
| 6       | 05:56:25     | 05:56:25       | 841     | 35            |
| 6       | 05:56:58     | 05:56:58       | 849     | 36            |
| 6       | 05:57:56     | 05:57:56       | 862     | 37            |
| 6       | 05:58:26     | 05:58:26       | 876     | 38            |
| 6       | 05:58:48     | 05:58:48       | 884     | 39            |
| 6       | 05:59:15     | 05:59:15       | 891     | 40            |
| 6       | 05:59:29     | 05:59:29       | 899     | 41            |
| 6       | 06:00:34     | 06:00:34       | 919     | 42            |
| 6       | 06:01:17     | 06:01:17       | 929     | 43            |
| 6       | 06:02:42     | 06:02:42       | 967     | 44            |
| 6       | 06:03:02     | 06:03:02       | 971     | 45            |
| 6       | 06:03:43     | 06:03:43       | 987     | 46            |
| 6       | 06:06:23     | 06:06:23       | 988     | 47            |
| 6       | 06:07:09     | 06:07:09       | 976     | 48            |
| 6       | 06:07:54     | 06:07:54       | 964     | 49            |
| 6       | 06:08:29     | 06:08:29       | 954     | 50            |
| 6       | 06:09:08     | 06:09:08       | 940     | 51            |
| 6       | 06:11:32     | 06:11:32       | 914     | 52            |
| 6       | 06:12:33     | 06:12:33       | 902     | 53            |
| 6       | 06:13:11     | 06:13:11       | 893     | 54            |
| 6       | 06:14:15     | 06:14:15       | 880     | 55            |
| 6       | 06:15:11     | 06:15:11       | 863     | 56            |
| 6       | 06:16:05     | 06:16:05       | 855     | 57            |
| 6       | 06:17:24     | 06:17:24       | 845     | 58            |
| 6       | 06:19:38     | 06:19:38       | 824     | 59            |
| 6       | 06:21:08     | 06:21:08       | 795     | 60            |
| 6       | 06:22:27     | 06:22:27       | 771     | 61            |
| 6       | 06:24:01     | 06:24:01       | 736     | 62            |
| 6       | 06:26:42     | 06:26:42       | 701     | 63            |
| 6       | 06:27:42     | 06:27:42       | 658     | 64            |
| 6       | 06:28:27     | 06:28:27       | 620     | 65            |
| 6       | 06:29:25     | 06:29:25       | 576     | 66            |
| 6       | 06:30:15     | 06:30:15       | 612     | 67            |
| 7       | 05:40:00     | 05:40:00       | 826     | 1             |
| 7       | 05:41:14     | 05:41:14       | 788     | 2             |
| 7       | 05:42:33     | 05:42:33       | 730     | 3             |
| 7       | 05:43:33     | 05:43:33       | 709     | 4             |
| 7       | 05:44:39     | 05:44:39       | 691     | 5             |
| 7       | 05:45:25     | 05:45:25       | 682     | 6             |
| 7       | 05:46:01     | 05:46:01       | 692     | 7             |
| 7       | 05:46:37     | 05:46:37       | 719     | 8             |
| 7       | 05:46:57     | 05:46:57       | 741     | 9             |
| 7       | 05:47:26     | 05:47:26       | 747     | 10            |
| 7       | 05:48:49     | 05:48:49       | 751     | 11            |
| 7       | 05:49:08     | 05:49:08       | 752     | 12            |
| 7       | 05:50:43     | 05:50:43       | 757     | 13            |
| 7       | 05:51:23     | 05:51:23       | 764     | 14            |
| 7       | 05:52:08     | 05:52:08       | 772     | 15            |
| 7       | 05:52:41     | 05:52:41       | 773     | 16            |
| 7       | 05:53:12     | 05:53:12       | 759     | 17            |
| 7       | 05:53:44     | 05:53:44       | 749     | 18            |
| 7       | 05:54:06     | 05:54:06       | 743     | 19            |
| 7       | 05:54:43     | 05:54:43       | 732     | 20            |
| 7       | 05:55:49     | 05:55:49       | 744     | 21            |
| 7       | 05:56:16     | 05:56:16       | 765     | 22            |
| 7       | 05:56:46     | 05:56:46       | 781     | 23            |
| 7       | 05:57:32     | 05:57:32       | 796     | 24            |
| 7       | 05:58:14     | 05:58:14       | 803     | 25            |
| 7       | 05:59:26     | 05:59:26       | 806     | 26            |
| 7       | 06:00:31     | 06:00:31       | 810     | 27            |
| 7       | 06:00:48     | 06:00:48       | 813     | 28            |
| 7       | 06:01:21     | 06:01:21       | 816     | 29            |
| 7       | 06:01:43     | 06:01:43       | 817     | 30            |
| 7       | 06:03:31     | 06:03:31       | 758     | 31            |
| 7       | 06:04:37     | 06:04:37       | 820     | 32            |
| 7       | 06:04:54     | 06:04:54       | 819     | 33            |
| 7       | 06:05:47     | 06:05:47       | 832     | 34            |
| 7       | 06:06:25     | 06:06:25       | 841     | 35            |

**ARCE**  
SEDE DA AGENCIA REGULADORA DO ESTADO DO CEARÁ  
AV. General Afonso Albuquerque Lima, S/N – Cambeba  
Fortaleza/CE CEP: 60.822-325 * Telefone: 0800.275.3838

| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 7       | 06:07:56     | 06:07:56       | 862     | 37            |
| 7       | 06:08:26     | 06:08:26       | 876     | 38            |
| 7       | 06:08:48     | 06:08:48       | 884     | 39            |
